name,price,url
Abhorrent Deformity - Camo SHIRT,$15.00 now $10.50,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=10218&ceid=0e41b80018df84e4aee05fce2865b1bc
Abhorrent Deformity - Camo SHIRT,$15.00 now $10.50,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=10218&ceid=0e41b80018df84e4aee05fce2865b1bc
Abhorrent Deformity - Digesting HOODIE,"<h6 class=""card-subtitle mb-2 text-muted"">$35.00</h6>",https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=10220&ceid=0e41b80018df84e4aee05fce2865b1bc
Abhorrent Deformity - Digesting SHIRT,$18.00 now $14.40,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=10219&ceid=0e41b80018df84e4aee05fce2865b1bc
Abhorrent Deformity - KFD SHIRT,$15.00 now $10.50,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=10217&ceid=0e41b80018df84e4aee05fce2865b1bc
Abhorrent Deformity - Logo (Alternate) SHIRT,$15.00 now $10.50,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=10216&ceid=0e41b80018df84e4aee05fce2865b1bc
Abhorrent Deformity - Nightmare SHIRT,$15.00 now $10.50,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=10215&ceid=0e41b80018df84e4aee05fce2865b1bc
Abhorrent Deformity - Slaughter Monolith SHIRT,$17.00 now $15.30,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=7537&ceid=0e41b80018df84e4aee05fce2865b1bc
Aborted Fetus - Pyramids of Damnation SHIRT,"<h6 class=""card-subtitle mb-2 text-muted"">$18.00</h6>",https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=8740&ceid=0e41b80018df84e4aee05fce2865b1bc
Aborted Fetus - The Art of Violent Torture SHIRT,$17.00 now $14.45,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=6743&ceid=0e41b80018df84e4aee05fce2865b1bc
Abuse - Nothing is Safe SHIRT,"<h6 class=""card-subtitle mb-2 text-muted"">$17.00</h6>",https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=6855&ceid=0e41b80018df84e4aee05fce2865b1bc
Anthropophagus Depravity - Apocalypto SHIRT,"<h6 class=""card-subtitle mb-2 text-muted"">$18.00</h6>",https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=9302&ceid=0e41b80018df84e4aee05fce2865b1bc
Architectural Genocide - Cordyceptic Anthropomorph SHIRT,"<h6 class=""card-subtitle mb-2 text-muted"">$18.00</h6>",https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=8491&ceid=0e41b80018df84e4aee05fce2865b1bc
Atrocious Abnormality - Formed in Disgust SHIRT,$17.00 now $14.45,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=5961&ceid=0e41b80018df84e4aee05fce2865b1bc
Between the Killings - Reflection of Murder (The Killing Quartet Vol. 1) SHIRT,"<h6 class=""card-subtitle mb-2 text-muted"">$20.00</h6>",https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=10008&ceid=0e41b80018df84e4aee05fce2865b1bc
Blasphemer - Ritual Theophagy SHIRT,"<h6 class=""card-subtitle mb-2 text-muted"">$17.00</h6>",https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=6404&ceid=0e41b80018df84e4aee05fce2865b1bc
Bloodsoaked - Crushing Colombia 2012 SHIRT,$12.00 now $6.00,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=4143&ceid=0e41b80018df84e4aee05fce2865b1bc
Bloodsoaked - Europe 2012 SHIRT,$15.00 now $7.50,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=4142&ceid=0e41b80018df84e4aee05fce2865b1bc
Bloodsoaked - One Man Killing Machine SHIRT,$15.00 now $9.00,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=4140&ceid=0e41b80018df84e4aee05fce2865b1bc
Bloodsoaked - Rotting in Filth SHIRT,$15.00 now $7.50,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=4141&ceid=0e41b80018df84e4aee05fce2865b1bc
Colossus - Degenesis SHIRT,$20.00 now $16.00,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=9053&ceid=0e41b80018df84e4aee05fce2865b1bc
Corpsefucking Art - Splatterphobia SHIRT,"<h6 class=""card-subtitle mb-2 text-muted"">$17.00</h6>",https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=7776&ceid=0e41b80018df84e4aee05fce2865b1bc
Cystectomy - Deprive to Hollowness SHIRT,"<h6 class=""card-subtitle mb-2 text-muted"">$18.00</h6>",https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=9522&ceid=0e41b80018df84e4aee05fce2865b1bc
Decimation - Reign of Ungodly Creation SHIRT,"<h6 class=""card-subtitle mb-2 text-muted"">$17.00</h6>",https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=5025&ceid=0e41b80018df84e4aee05fce2865b1bc
Dehumanized - Beyond the Mind SHIRT,"<h6 class=""card-subtitle mb-2 text-muted"">$17.00</h6>",https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=6419&ceid=0e41b80018df84e4aee05fce2865b1bc
