name,price,url
Abhorrent Deformity - Camo SHIRT,$15.00 now $10.50,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=10218&ceid=d430c306912f4e357bc0dd71d2df6930
Abhorrent Deformity - Camo SHIRT,$15.00 now $10.50,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=10218&ceid=d430c306912f4e357bc0dd71d2df6930
Abhorrent Deformity - Digesting HOODIE,$35.00 ,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=10220&ceid=d430c306912f4e357bc0dd71d2df6930
Abhorrent Deformity - Digesting SHIRT,$18.00 now $14.40,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=10219&ceid=d430c306912f4e357bc0dd71d2df6930
Abhorrent Deformity - KFD SHIRT,$15.00 now $10.50,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=10217&ceid=d430c306912f4e357bc0dd71d2df6930
Abhorrent Deformity - Logo (Alternate) SHIRT,$15.00 now $10.50,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=10216&ceid=d430c306912f4e357bc0dd71d2df6930
Abhorrent Deformity - Nightmare SHIRT,$15.00 now $10.50,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=10215&ceid=d430c306912f4e357bc0dd71d2df6930
Abhorrent Deformity - Slaughter Monolith SHIRT,$17.00 now $15.30,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=7537&ceid=d430c306912f4e357bc0dd71d2df6930
Aborted Fetus - Pyramids of Damnation SHIRT,$18.00 ,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=8740&ceid=d430c306912f4e357bc0dd71d2df6930
Aborted Fetus - The Art of Violent Torture SHIRT,$17.00 now $14.45,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=6743&ceid=d430c306912f4e357bc0dd71d2df6930
Abuse - Nothing is Safe SHIRT,$17.00 ,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=6855&ceid=d430c306912f4e357bc0dd71d2df6930
Anthropophagus Depravity - Apocalypto SHIRT,$18.00 ,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=9302&ceid=d430c306912f4e357bc0dd71d2df6930
Architectural Genocide - Cordyceptic Anthropomorph SHIRT,$18.00 ,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=8491&ceid=d430c306912f4e357bc0dd71d2df6930
Atrocious Abnormality - Formed in Disgust SHIRT,$17.00 now $14.45,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=5961&ceid=d430c306912f4e357bc0dd71d2df6930
Between the Killings - Reflection of Murder (The Killing Quartet Vol. 1) SHIRT,$20.00 ,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=10008&ceid=d430c306912f4e357bc0dd71d2df6930
Blasphemer - Ritual Theophagy SHIRT,$17.00 ,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=6404&ceid=d430c306912f4e357bc0dd71d2df6930
Bloodsoaked - Crushing Colombia 2012 SHIRT,$12.00 now $6.00,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=4143&ceid=d430c306912f4e357bc0dd71d2df6930
Bloodsoaked - Europe 2012 SHIRT,$15.00 now $7.50,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=4142&ceid=d430c306912f4e357bc0dd71d2df6930
Bloodsoaked - One Man Killing Machine SHIRT,$15.00 now $9.00,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=4140&ceid=d430c306912f4e357bc0dd71d2df6930
Bloodsoaked - Rotting in Filth SHIRT,$15.00 now $7.50,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=4141&ceid=d430c306912f4e357bc0dd71d2df6930
Colossus - Degenesis SHIRT,$20.00 now $16.00,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=9053&ceid=d430c306912f4e357bc0dd71d2df6930
Corpsefucking Art - Splatterphobia SHIRT,$17.00 ,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=7776&ceid=d430c306912f4e357bc0dd71d2df6930
Cystectomy - Deprive to Hollowness SHIRT,$18.00 ,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=9522&ceid=d430c306912f4e357bc0dd71d2df6930
Decimation - Reign of Ungodly Creation SHIRT,$17.00 ,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=5025&ceid=d430c306912f4e357bc0dd71d2df6930
Dehumanized - Beyond the Mind SHIRT,$17.00 ,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&products_id=6419&ceid=d430c306912f4e357bc0dd71d2df6930
Depraved Murder - Manifestation SHIRT,$17.00 now $15.30,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&page=2&products_id=8086
Depraved Murder - Manifestation SHIRT,$17.00 now $15.30,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&page=2&products_id=8086
Desecrate the Faith - Unholy Infestation SHIRT,$17.00 ,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&page=2&products_id=6662
Dysentery - Fragments SHIRT,$17.00 ,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&page=2&products_id=5409
Dysentery - Polytheist SHIRT,$15.00 ,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&page=2&products_id=5724
Face of Oblivion - Cataclysmic Desolation SHIRT,$17.00 ,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&page=2&products_id=6454
Face of Oblivion - The Embers of Man SHIRT,$17.00 ,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&page=2&products_id=2696
Flesh Hoarder - Homicidal Necrophile LONG SLEEVE,$26.00 ,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&page=2&products_id=9813
Focal Dystonia - Descending (In)Human Flesh SHIRT,$18.00 ,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&page=2&products_id=8894
Imperial Execration - Commanding Satan's Crusades SHIRT *PRE-ORDER*,$20.00 ,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&page=2&products_id=10275
In Asymmetry - Ashes of Dead Worlds SHIRT,$18.00 ,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&page=2&products_id=9216
Incinerate - Sacrilegivm HOODIE,$36.00 ,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&page=2&products_id=8789
Incinerate - Sacrilegivm LONG SLEEVE,$26.00 ,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&page=2&products_id=8787
Incinerate - Sacrilegivm SHIRT,$18.00 ,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&page=2&products_id=8786
Incinerate - Sacrilegivm TANK,$20.00 ,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&page=2&products_id=8788
Incinerate - Triple Seis Design LONG SLEEVE,$28.00 ,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&page=2&products_id=9896
Internal Bleeding - Heritage of Sickness II SHIRT,$18.00 now $14.40,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&page=2&products_id=9394
Intricated - Apocalyptic Metamorphosis SHIRT,$18.00 ,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&page=2&products_id=9555
Kill Everything - Scorched Earth SHIRT,$18.00 ,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&page=2&products_id=8030
Kraanium - Post Mortal Coital Fixation TANK,$18.00 ,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&page=2&products_id=3465
Logic of Denial - Aftermath SHIRT,$17.00 ,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&page=2&products_id=6908
Logic of Denial - Atonement SHIRT,$17.00 ,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&page=2&products_id=3910
Mass Infection - For I Am Genocide TANK,$18.00 ,https://www.comatosemusic.com/store/product_info.php?cPath=48&sort=1a&page=2&products_id=4660
